,dateBefore,population_size,state_population_size,severityScore,severityMax,pctStateAffected,interventionFootprint,State
5,2020-05-11,7278717,58229736,8.0,8.0,1.0,1.0,Arizona
6,2020-05-15,7278717,58229736,8.0,8.0,1.0,1.0,Arizona
0,2020-03-13,762062,762062,0.1,0.1,1.0,0.1,North Dakota
1,2020-03-19,762062,762062,0.6,0.6,1.0,0.6,North Dakota
2,2020-04-08,762062,762062,0.6,0.6,1.0,0.6,North Dakota
3,2020-05-01,762062,762062,0.8,0.8,1.0,0.8,North Dakota
4,2020-05-09,762062,762062,0.8,0.8,1.0,0.8,North Dakota
0,2020-03-11,731545,1463090,0.2,0.2,1.0,0.1,Alaska
1,2020-03-16,731545,1463090,0.8,0.8,1.0,0.4,Alaska
2,2020-03-18,731545,1463090,1.2,1.2,1.0,0.6000000000000001,Alaska
3,2020-03-22,731545,1463090,1.6,1.6,1.0,0.7574749331893459,Alaska
4,2020-03-25,731545,1463090,1.6,1.6,1.0,0.7574749331893459,Alaska
5,2020-04-24,731545,1463090,1.6,1.6,1.0,0.7574749331893459,Alaska
0,2020-03-13,12801989,435267626,13.600000000000007,13.600000000000007,1.0,0.4,Pennsylvania
1,2020-03-16,12801989,435267626,27.200000000000014,27.200000000000014,1.0,0.8,Pennsylvania
2,2020-03-23,12801989,435267626,28.600000000000016,28.600000000000016,1.0,0.8862580806779322,Pennsylvania
3,2020-03-25,12801989,435267626,29.200000000000017,29.200000000000017,1.0,0.9010109600937792,Pennsylvania
4,2020-03-27,12801989,435267626,31.00000000000001,31.00000000000001,1.0,0.941425914363776,Pennsylvania
5,2020-03-28,12801989,435267626,31.60000000000001,31.60000000000001,1.0,0.9497555418927482,Pennsylvania
6,2020-03-30,12801989,435267626,32.400000000000006,32.400000000000006,0.9999999999999999,0.9612726584908019,Pennsylvania
7,2020-03-31,12801989,435267626,33.8,33.8,1.0,0.9698979119572748,Pennsylvania
8,2020-04-01,12801989,435267626,34.0,34.0,1.0,1.0,Pennsylvania
9,2020-05-08,12801989,435267626,34.0,34.0,1.0,1.0,Pennsylvania
10,2020-05-15,12801989,435267626,34.0,34.0,1.0,1.0,Pennsylvania
0,2020-02-28,4217737,4217737,0.3,0.3,1.0,0.3,Oregon
1,2020-03-08,4217737,4217737,0.3,0.3,1.0,0.3,Oregon
2,2020-03-12,4217737,4217737,0.4,0.4,1.0,0.4,Oregon
3,2020-03-23,4217737,4217737,1.0,1.0,1.0,1.0,Oregon
4,2020-05-05,4217737,4217737,1.0,1.0,1.0,1.0,Oregon
5,2020-05-15,4217737,4217737,1.0,1.0,1.0,1.0,Oregon
0,2020-03-10,3565287,3565287,0.1,0.1,1.0,0.1,Connecticut
1,2020-03-13,3565287,3565287,0.4,0.4,1.0,0.4,Connecticut
2,2020-05-20,3565287,3565287,0.8,0.8,1.0,0.8,Connecticut
0,2020-03-13,1787065,3574130,0.2,0.2,1.0,0.09999999999999999,Idaho
1,2020-03-17,1787065,3574130,1.1,1.1,1.0,0.11159381443875852,Idaho
2,2020-03-23,1787065,3574130,1.4,1.4,1.0,0.40772920962583903,Idaho
3,2020-03-25,1787065,3574130,2.0,2.0,1.0,1.0,Idaho
4,2020-05-01,1787065,3574130,2.0,2.0,1.0,1.0,Idaho
5,2020-05-15,1787065,3574130,2.0,2.0,1.0,1.0,Idaho
0,2020-03-05,6045680,6045680,0.1,0.1,1.0,0.1,Maryland
1,2020-03-12,6045680,6045680,0.3,0.3,1.0,0.3,Maryland
2,2020-03-16,6045680,6045680,0.6,0.6,1.0,0.6,Maryland
3,2020-03-23,6045680,6045680,0.8,0.8,1.0,0.8,Maryland
4,2020-03-30,6045680,6045680,1.0,1.0,1.0,1.0,Maryland
5,2020-05-15,6045680,6045680,1.0,1.0,1.0,1.0,Maryland
0,2020-03-15,1344212,5376848,0.4,0.4,1.0,0.1,Maine
1,2020-03-23,1344212,5376848,1.3000000000000003,1.3000000000000003,1.0,0.2975154960675846,Maine
2,2020-03-25,1344212,5376848,2.2,2.2,1.0,0.3419841513094661,Maine
3,2020-03-26,1344212,5376848,3.1,3.1,1.0,0.35912832202063366,Maine
4,2020-03-31,1344212,5376848,4.0,4.0,1.0,1.0,Maine
5,2020-05-01,1344212,5376848,4.0,4.0,1.0,1.0,Maine
6,2020-05-18,1344212,5376848,4.0,4.0,1.0,1.0,Maine
0,2020-03-13,5639632,11279264,0.2,0.2,1.0,0.1,Minnesota
1,2020-03-14,5639632,11279264,0.4,0.4,1.0,0.1109118821937318,Minnesota
2,2020-03-17,5639632,11279264,1.6,1.6,1.0,0.8,Minnesota
3,2020-03-18,5639632,11279264,1.6,1.6,1.0,0.8,Minnesota
4,2020-03-27,5639632,11279264,2.0,2.0,1.0,1.0,Minnesota
5,2020-05-18,5639632,11279264,2.0,2.0,1.0,1.0,Minnesota
0,2020-03-11,4648794,9297588,0.2,0.2,1.0,0.1,Louisiana
1,2020-03-16,4648794,9297588,1.2,1.2,1.0,0.5999999999999999,Louisiana
2,2020-03-20,4648794,9297588,1.6,1.6,1.0,0.6336436503746993,Louisiana
3,2020-03-23,4648794,9297588,2.0,2.0,1.0,1.0,Louisiana
4,2020-05-15,4648794,9297588,2.0,2.0,1.0,1.0,Louisiana
0,2020-03-04,1415872,5663488,0.4,0.4,1.0,0.09999999999999998,Hawaii
1,2020-03-16,1415872,5663488,1.6,1.6,1.0,0.3999999999999999,Hawaii
2,2020-03-19,1415872,5663488,2.0,2.0,1.0,0.5613111919721556,Hawaii
3,2020-03-20,1415872,5663488,2.6,2.6,1.0,0.591946588392171,Hawaii
4,2020-03-21,1415872,5663488,2.8000000000000003,2.8000000000000003,1.0,0.6204235976133435,Hawaii
5,2020-03-22,1415872,5663488,3.2,3.2,1.0,0.8957487682502373,Hawaii
6,2020-03-25,1415872,5663488,4.0,4.0,1.0,1.0,Hawaii
7,2020-05-07,1415872,5663488,4.0,4.0,1.0,1.0,Hawaii
0,2020-03-13,10617423,307905267,2.9000000000000012,2.9000000000000012,1.0,0.1,Georgia
1,2020-03-18,10617423,307905267,11.600000000000005,11.600000000000005,1.0,0.4,Georgia
2,2020-03-19,10617423,307905267,12.200000000000006,12.200000000000006,1.0,0.407118337472285,Georgia
3,2020-03-22,10617423,307905267,12.800000000000006,12.800000000000006,1.0,0.4120888091206313,Georgia
4,2020-03-23,10617423,307905267,12.800000000000006,12.800000000000006,1.0,0.4120888091206313,Georgia
5,2020-03-24,10617423,307905267,18.799999999999994,18.799999999999994,0.9999999999999999,0.47621787320708614,Georgia
6,2020-03-25,10617423,307905267,20.599999999999984,20.599999999999984,1.0,0.5263964334848484,Georgia
7,2020-03-26,10617423,307905267,22.399999999999984,22.399999999999984,1.0,0.5425817168629337,Georgia
8,2020-03-27,10617423,307905267,24.19999999999999,24.19999999999999,0.9999999999999999,0.5504596171782927,Georgia
9,2020-03-28,10617423,307905267,27.199999999999996,27.199999999999996,0.9999999999999998,0.6509264818779471,Georgia
10,2020-03-30,10617423,307905267,27.799999999999997,27.799999999999997,0.9999999999999999,0.6520602598201088,Georgia
11,2020-04-01,10617423,307905267,28.4,28.4,0.9999999999999999,0.7121842842655887,Georgia
12,2020-04-02,10617423,307905267,29.0,29.0,0.9999999999999999,0.9999999999999999,Georgia
13,2020-04-24,10617423,307905267,29.0,29.0,0.9999999999999999,0.9999999999999999,Georgia
14,2020-04-27,10617423,307905267,29.0,29.0,0.9999999999999999,0.9999999999999999,Georgia
15,2020-04-30,10617423,307905267,29.0,29.0,0.9999999999999999,0.9999999999999999,Georgia
0,2020-03-01,21477737,644332110,3.0000000000000013,3.0000000000000013,1.0,0.10000000000000002,Florida
1,2020-03-17,21477737,644332110,12.000000000000005,12.000000000000005,1.0,0.4000000000000001,Florida
2,2020-03-24,21477737,644332110,18.8,18.8,1.0,0.6067187897868384,Florida
3,2020-03-25,21477737,644332110,19.6,19.6,1.0,0.6133378483962254,Florida
4,2020-03-26,21477737,644332110,22.00000000000001,22.00000000000001,1.0,0.6426167430954202,Florida
5,2020-03-27,21477737,644332110,23.200000000000014,23.200000000000014,1.0,0.7088854193530724,Florida
6,2020-03-28,21477737,644332110,28.000000000000007,28.000000000000007,1.0,0.7554700292679812,Florida
7,2020-03-30,21477737,644332110,29.200000000000003,29.200000000000003,1.0,0.808744282509838,Florida
8,2020-03-31,21477737,644332110,29.6,29.6,1.0,0.8112104641191947,Florida
9,2020-04-01,21477737,644332110,30.0,30.0,1.0,1.0,Florida
10,2020-05-04,21477737,644332110,30.0,30.0,1.0,1.0,Florida
11,2020-05-11,21477737,644332110,30.0,30.0,1.0,1.0,Florida
12,2020-05-18,21477737,644332110,30.0,30.0,1.0,1.0,Florida
0,2020-03-12,973764,973764,0.1,0.1,1.0,0.1,Delaware
1,2020-03-13,973764,973764,0.4,0.4,1.0,0.4,Delaware
2,2020-03-23,973764,973764,1.0,1.0,1.0,1.0,Delaware
0,2020-03-02,4903185,19612740,1.2,1.2,1.0,0.3,Alabama
1,2020-03-13,4903185,19612740,1.2,1.2,1.0,0.3,Alabama
2,2020-03-18,4903185,19612740,1.6,1.6,1.0,0.4,Alabama
3,2020-03-24,4903185,19612740,2.1999999999999997,2.1999999999999997,1.0,0.42568289795306524,Alabama
4,2020-03-27,4903185,19612740,3.4,3.4,1.0,0.46231186463492613,Alabama
5,2020-04-04,4903185,19612740,4.0,4.0,1.0,1.0,Alabama
6,2020-05-01,4903185,19612740,4.0,4.0,1.0,1.0,Alabama
