Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links
4/11/2020 11:08:02,Florida,03-28-2020,"Boca Raton, Dania Beach, Fort Lauderdale, Gadsden County, Hollywood, Lauderdale-by-the-sea, Miramar, Oakland Park, Palm Beach, Pembroke Pines, Pompano Beach, and Wilton Manors",,,Shelter-in-place order,,,,,,"""Boca Raton issued a stay-at-home order effective March 28 until further notice."" and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsden County issued a stay-at-home order effective March 27."" and ""Hollywood issued a ""safer-at-home order"" effective March 28 until further notice."" and  ""Lauderdale-by-the-Sea issued a ""safer-at-home order"" effective March 28.""  and ""Oakland Park issued a ""safer-at-home order"" effective March 28 until further notice."" and ""Pompano Beach issued a ""safer-at-home order"" effective March 28 until further notice."" and Wilton Manors issued a ""safer-at-home order"" effective March 28 until further notice."" and ""Dania Beach issued a stay-at-home order effective March 28 until further notice."" and ""On March 28, Pembroke Pines issued a stay-at-home order effective March 28 until further notice."" and ""Palm Beach issued a shelter-in-place order effective until further notice.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:16:08,Florida,03-30-2020,"Miami-Dade, Broward, Palm Beach, Monroe, Delray Beach",,,Shelter-in-place order,,,,,,"""Delray Beach issued a shelter-in-place order effective March 30 through April 16."" and ""On March 30, Governor DeSantis issued a stay-at-home order for Miami-Dade, Broward, Palm Beach, and Monroe counties in southeast Florida effective until mid-May.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:16:48,Florida,03-31-2020,Sumter,,,Shelter-in-place order,,,,,,"""On March 31, Sumter County issued a stay-at-home order effective through April 30.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:17:28,Florida,04-01-2020,State-wide,,,Shelter-in-place order,,,,,,"""On April 1, Governor DeSantis issued a statewide stay-at-home order effective April 2 until April 30.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:22:22,Florida,03-17-2020,State-wide,,,,,,Schools closed,,Some (cherry-picked) businesses closed,"""On March 17, he ordered all bars and nightclubs to be closed for 30 days, extended school closures to April 15, and cancelled state-mandated school testing.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response
4/11/2020 11:25:58,Florida,03-24-2020,State-wide,,Travel restrictions for out of state travelers,,,,,,,"""On March 27, DeSantis expanded a previous order requiring airline travelers from New York City to self-quarantine for fourteen days to include people who enter from Louisiana via Interstate 10."" and ""The recommendation follows an order that took effect Tuesday by Florida Gov. Ron DeSantis requiring anyone flying to Florida from New York, New Jersey or Connecticut to self-isolate for 14 days upon arrival.""",https://www.usatoday.com/story/travel/airline-news/2020/03/24/new-york-travelers-told-self-quarantine-coronavirus-covid-19/2913222001/ and https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Florida#Government_response
4/11/2020 11:29:22,Georgia,03-13-2020,State-wide,State of Emergency declared,,,,,,,,"""On March 13, the state of emergency is declared.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:30:59,Georgia,03-18-2020,State-wide,,,,,,Schools closed,,,"""ordered on March 16 that all public schools, colleges, and universities in the state close from March 18 through the start of April.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response
4/11/2020 11:32:09,Georgia,03-23-2020,State-wide,,,,Banned gatherings of a certain size,10,,,Some (cherry-picked) businesses closed,"""On March 23, gatherings of over 10 people were banned, bars and nightclubs were ordered to close, and a shelter-in-place order for the ""medically fragile"" was issued""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response
4/11/2020 11:32:34,Georgia,04-02-2020,State-wide,,,Shelter-in-place order,,,,,,"""On April 2, a statewide shelter in place order was announced.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Georgia_(U.S._state)#Government_response
4/11/2020 11:36:44,Georgia,04-19-2020,Athens-Clarke,,,Shelter-in-place order,,,,,,"""Athens-Clarke County imposed a stay-at-home order effective March 19 to April 7.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:37:43,Georgia,03-22-2020,Dougherty,,,Shelter-in-place order,,,,,,"""Dougherty County imposed a shelter-in-place order effective March 22 through April 7.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:41:45,Georgia,03-24-2020,"Atlanta, Blakely, Brookhaven, Carroll, Lowndes, Pickens, Rome, Sandy Springs, Tifton, and Savannah",,,Shelter-in-place order,,,,,,"""On March 23, Atlanta issued a stay-at-home order effective March 24 for 14 days."" and ""Rome issued a stay-at-home order effective March 24 through April 7."" and ""Tifton issued a shelter-in-place order effective March 24 through April 7."" and ""Savannah issued a shelter-in-place order effective March 24 through April 8."" and ""On March 24, Lowndes County issued a voluntary shelter-in-place order effective until April 6."" and ""Carroll County issued a shelter-in-place order effective until April 12 at the earliest"" and "" Sandy Springs issued a shelter-in-place order on March 24."" and ""Brookhaven issued a shelter-in-place order effective March 24 through April 15"" and "" Blakely issued a shelter-in-place order effective March 24 until further notice."" and  ""Pickens County issued a shelter-in-place order effective March 24 through April 7.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:43:47,Georgia,03-25-2020,"Canton, Cobb, Decatur, and Floyd",,,Shelter-in-place order,,,,,,"""Cobb County issued a shelter-in-place order effective March 25 until April 15."" and ""Floyd County issued a shelter-in-place order effective March 25 through April 7."" and ""Decatur issued a stay-at-home order effective March 25 through April 7"" and ""On March 25, Canton issued a shelter-in-place order effective March 25 through April 12.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:45:15,Georgia,03-26-2020,"Cherokee, Conyers, and Douglas",,,Shelter-in-place order,,,,,,"""Douglas County issued a shelter-in-place order effective March 26 until April 10."" and ""Cherokee County issued a shelter-in-place order effective March 26 through April 9."" and  ""Conyers issued a shelter-in-place order effective March 26 through April 8""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
4/11/2020 11:46:29,Georgia,03-27-2020,"Bartow, Cartersville, and Doraville",,,Shelter-in-place order,,,,,,"""On March 26, Cartersville and surrounding Bartow County issued shelter-in-place orders effective March 27 through April 7."" and  ""Doraville issued a shelter-in-place order.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic
