,Timestamp,State,Effective Date,Coverage,State of Emergency Declaration,Travel Restrictions,Shelter-in-place Order,Gathering Limitations,Banning Gatherings of a Certain Size,K-12 School Closure,Bar and Dine-in Restaurant Closure,Non-essential Businesses Closure,Details (if any) ,Reference links,Unnamed: 0,Face Covering Requirements
244,4/13/2020 12:14:13,Utah,03-27-2020,Summit and Salt Lake City,,,Shelter-in-place order,,,,,,"""On March 25, Summit County issued a stay-at-home order effective March 27 through May 1."" and """"In response, Salt Lake City issued a mandatory stay-at-home order until further notice.""""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#cite_note-764,,
245,4/11/2020 11:08:02,Florida,03-28-2020,"Boca Raton, Dania Beach, Fort Lauderdale, Gadsden County, Hollywood, Lauderdale-by-the-sea, Miramar, Oakland Park, Palm Beach, Pembroke Pines, Pompano Beach, and Wilton Manors",,,Shelter-in-place order,,,,,,"""Boca Raton issued a stay-at-home order effective March 28 until further notice."" and "" Miramar issued a ""safer-at-home order"" effective March 28."" and ""On March 27, Fort Lauderdale issued a stay-at-home order effective March 28 until April 17."" and ""Gadsden County issued a stay-at-home order effective March 27."" and ""Hollywood issued a ""safer-at-home order"" effective March 28 until further notice."" and  ""Lauderdale-by-the-Sea issued a ""safer-at-home order"" effective March 28.""  and ""Oakland Park issued a ""safer-at-home order"" effective March 28 until further notice."" and ""Pompano Beach issued a ""safer-at-home order"" effective March 28 until further notice."" and Wilton Manors issued a ""safer-at-home order"" effective March 28 until further notice."" and ""Dania Beach issued a stay-at-home order effective March 28 until further notice."" and ""On March 28, Pembroke Pines issued a stay-at-home order effective March 28 until further notice."" and ""Palm Beach issued a shelter-in-place order effective until further notice.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
246,4/11/2020 11:49:04,Georgia,03-28-2020,"Avondale Estates, Chamblee, Dunwoody,  DeKalb, and Gwinnett",,,Shelter-in-place order,,,,,,"""On March 27, Gwinnett County and all 16 cities and towns in the county jointly issued a stay-at-home order effective March 28 through April 13."" and  ""Avondale Estates issued a shelter-in-place order."" and ""DeKalb County issued a shelter-in-place order effective March 28 until further notice."" and ""On March 28, Chamblee issued a stay-at-home order effective March 28 until further notice."" and ""Dunwoody issued a shelter-in-place order effective March 28.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
247,4/11/2020 14:35:27,Kansas,03-28-2020,"Chase, Jefferson, and Osage",,,Shelter-in-place order,,,,,,"""Osage County issued a stay-at-home order effective March 28 until further notice."" and ""Jefferson County issued a stay-at-home order effective March 28 until April 14."" and ""Chase County issued a stay-at-home order effective March 28 for 30 days.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
248,4/14/2020 10:22:25,Mississippi,03-28-2020,Moss Point,,,,,,,,,"""March 27 – Moss Point issued a shelter-in-place order effective March 28 until further notice""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
249,4/14/2020 10:32:22,Missouri,03-28-2020,Cole and West Plains,,,Shelter-in-place order,,,,,,"""On March 27, Cole County issued a stay-at-home order effective March 28 until April 11."" and ""West Plains issued a stay-at-home order effective March 28 through April 15.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
250,4/14/2020 10:46:10,Montana,03-28-2020,State-wide,,,Shelter-in-place order,,,,,,"""Governor Bullock signed a pair of executive orders on March 26 enforcing a stay-at-home order for all Montana residents beginning at midnight on March 28 and ending on April 10. The executive order also forced all non-essential businesses to fully close.""",https://en.wikipedia.org/wiki/2020_coronavirus_pandemic_in_Montana,,
251,4/14/2020 17:20:16,North Carolina,03-28-2020,Rutherford and Henderson,,,Shelter-in-place order,,,,,,"""Rutherford County and several of its towns (Bostic, Forest City, Lake Lure, Rutherfordton, and Spindale) issued a stay-at-home order effective March 28 until April 17."" and ""Henderson County issued a stay-at-home order effective March 28.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,,
252,4/14/2020 17:48:43,Oklahoma,03-28-2020,Oklahoma City and Tulsa,,,Shelter-in-place order,,,,,,"""March 28 – Oklahoma City and Tulsa issued shelter-in-place orders effective March 28 through April 16.""",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic,,
253,4/14/2020 18:45:45,Pennsylvania,03-28-2020,"Beaver, Centre, and Washington",,,Shelter-in-place order,,,,,,"On March 28, the order was revised to include Beaver, Centre, and Washington counties.",https://en.wikipedia.org/wiki/U.S._state_and_local_government_response_to_the_2020_coronavirus_pandemic#North_Carolina,,
