date,region,mobility
5/16/2020,CA,86.58
5/17/2020,CA,69.9
5/18/2020,CA,75.55
5/19/2020,CA,80.95
5/20/2020,CA,83.81
5/21/2020,CA,87.83
5/22/2020,CA,102.51
5/23/2020,CA,95.55
5/24/2020,CA,83.01
5/25/2020,CA,79.84
5/26/2020,CA,88.59
5/27/2020,CA,90.35
5/28/2020,CA,92.01
5/29/2020,CA,103.48
5/30/2020,CA,97.8
5/31/2020,CA,78.67
6/1/2020,CA,83.71
6/2/2020,CA,84.86
6/3/2020,CA,90.83
6/4/2020,CA,93.75
1/13/2020,CO,100
1/14/2020,CO,103.46
1/15/2020,CO,105.66
1/16/2020,CO,109.36
1/17/2020,CO,130.55
1/18/2020,CO,121.37
1/19/2020,CO,89.84
1/20/2020,CO,103.79
1/21/2020,CO,99.12
1/22/2020,CO,101.85
1/23/2020,CO,107.31
1/24/2020,CO,124.4
1/25/2020,CO,119.05
1/26/2020,CO,90.01
1/27/2020,CO,94.06
1/28/2020,CO,100.08
1/29/2020,CO,98.41
1/30/2020,CO,106.61
1/31/2020,CO,123.48
2/1/2020,CO,116.4
2/2/2020,CO,85.08
2/3/2020,CO,85.85
2/4/2020,CO,81.32
2/5/2020,CO,99.4
2/6/2020,CO,111.29
2/7/2020,CO,104.75
2/8/2020,CO,119.48
2/9/2020,CO,80.31
2/10/2020,CO,103.81
2/11/2020,CO,110.09
2/12/2020,CO,110.41
2/13/2020,CO,124.65
2/14/2020,CO,144.99
2/15/2020,CO,128.72
2/16/2020,CO,100.63
2/17/2020,CO,107.58
2/18/2020,CO,103.31
2/19/2020,CO,110.41
2/20/2020,CO,118.35
2/21/2020,CO,135.04
2/22/2020,CO,127.98
2/23/2020,CO,87.4
2/24/2020,CO,102.7
2/25/2020,CO,100.77
2/26/2020,CO,108.61
2/27/2020,CO,114.51
2/28/2020,CO,134.84
2/29/2020,CO,126.96
3/1/2020,CO,94.51
3/2/2020,CO,100.58
3/3/2020,CO,110.88
3/4/2020,CO,112.17
3/5/2020,CO,116
3/6/2020,CO,136.61
3/7/2020,CO,135.28
3/8/2020,CO,99.99
3/9/2020,CO,108.5
3/10/2020,CO,109.98
3/11/2020,CO,111.84
3/12/2020,CO,107.94
3/13/2020,CO,107.67
3/14/2020,CO,98.41
3/15/2020,CO,75.88
3/16/2020,CO,81.94
3/17/2020,CO,71.01
3/18/2020,CO,70.73
3/19/2020,CO,51.78
3/20/2020,CO,58.73
3/21/2020,CO,55.57
3/22/2020,CO,46.11
3/23/2020,CO,55.57
3/24/2020,CO,56.2
3/25/2020,CO,53.79
3/26/2020,CO,44.99
3/27/2020,CO,47.2
3/28/2020,CO,42.94
3/29/2020,CO,36.75
3/30/2020,CO,46.52
3/31/2020,CO,50.46
4/1/2020,CO,50.38
4/2/2020,CO,44.42
4/3/2020,CO,50.54
4/4/2020,CO,48.83
4/5/2020,CO,41.54
4/6/2020,CO,51.38
4/7/2020,CO,52.34
4/8/2020,CO,52.63
4/9/2020,CO,53.16
4/10/2020,CO,60.71
4/11/2020,CO,54.8
4/12/2020,CO,28.37
4/13/2020,CO,42.02
4/14/2020,CO,49.71
4/15/2020,CO,56.59
4/16/2020,CO,44.83
4/17/2020,CO,60.96
4/18/2020,CO,56.55
4/19/2020,CO,48.93
4/20/2020,CO,59.37
4/21/2020,CO,58.6
4/22/2020,CO,61.01
4/23/2020,CO,62.72
4/24/2020,CO,69.62
4/25/2020,CO,66.93
4/26/2020,CO,55.48
4/27/2020,CO,67.3
4/28/2020,CO,67.84
4/29/2020,CO,70.94
4/30/2020,CO,72.65
5/1/2020,CO,85.85
5/2/2020,CO,74.45
5/3/2020,CO,66.67
5/4/2020,CO,73.27
5/5/2020,CO,77.64
5/6/2020,CO,76.96
5/7/2020,CO,80.01
5/8/2020,CO,91.78
5/9/2020,CO,88.72
5/10/2020,CO,67.97
5/11/2020,CO,0
5/12/2020,CO,0
5/13/2020,CO,88.78
5/14/2020,CO,90.71
5/15/2020,CO,104.48
5/16/2020,CO,102.79
5/17/2020,CO,88.63
5/18/2020,CO,97.85
5/19/2020,CO,100.85
5/20/2020,CO,103.36
5/21/2020,CO,108.17
5/22/2020,CO,125.92
5/23/2020,CO,112.25
5/24/2020,CO,84.5
5/25/2020,CO,92.59
5/26/2020,CO,106.13
5/27/2020,CO,107.24
5/28/2020,CO,111.89
